RRI,SBP
0.6093,100.2974
0.6045,100.4788
0.5902,103.3247
0.59,104.3054
0.5893,104.4183
0.6033,102.241
0.6815,104.796
0.9553,110.9636
0.8286,110.6954
0.7595,108.4947
0.705,104.2544
0.6902,100.3274
0.6473,100.049
0.6078,100.918
0.5916,100.9599
0.5874,101.2279
0.6201,105.7948
0.7834,113.58
1.1586,118.0412
0.9325,117.1614
0.8483,112.085
0.8552,105.6637
0.8063,102.1033
0.7206,101.6906
0.6785,102.3128
0.6318,102.2853
0.6052,102.0097
0.6065,102.0221
0.6028,103.4808
0.595,104.4079
0.601,105.0327
0.6602,108.5502
0.8259,115.7526
1.0728,119.4871
0.8794,117.0938
0.8574,111.8502
0.8286,104.7265
0.8274,100.5773
0.7771,99.4322
0.7555,98.7536
0.6981,97.6958
0.6682,96.7707
0.6585,95.893
0.6664,96.0751
0.7363,102.341
0.9495,103.7525
0.8512,105.164
0.8144,106.5755
0.7892,107.987
0.7904,103.1276
0.7889,94.3879
0.7636,94.5247
0.7161,94.4808
0.6969,94.499
0.6876,95.2395
0.6787,96.1847
0.6618,97.252
0.654,98.283
0.6414,99.0322
0.6266,99.0464
0.6411,98.6728
0.7199,102.0796
0.7785,104.9927
0.7576,105.3267
0.7486,104.8148
0.7492,102.9883
0.7128,101.0675
0.7098,101.26365
0.6982,101.4598
0.6721,101.65595
0.6641,101.8521
0.6651,101.8526
0.6858,101.8802
0.7105,102.1274
0.6895,102.2368
0.7019,102.1166
0.7312,101.4722
0.7125,102.2037
0.736,102.2433
0.7388,102.1061
0.6975,101.6131
0.7005,101.4977
0.6834,102.3814
0.6986,104.4019
0.693,106.0224
0.7044,107.1386
0.6787,107.0924
0.6754,106.9091
0.7415,109.3805
1.0119,113.2073
0.8959,112.7444
0.8586,110.2399
0.8483,106.8228
0.8162,104.2201
0.7549,102.2076
0.7226,100.8946
0.6967,100.5808
0.6711,101.1412
0.6726,102.0821
0.6879,103.60765
0.6971,105.1332
0.7312,106.65875
0.7337,108.1843
0.7013,108.1856
0.69,107.8786
0.7234,106.0331
0.7207,106.3282
0.7616,106.3334
0.7267,106.2264
0.7056,105.6367
0.7403,104.5644
0.7279,105.7029
0.6978,105.938
0.6771,105.8528
0.6924,105.2145
0.7901,105.2301
0.8415,106.4774
0.8002,105.9682
0.7803,104.3818
0.7511,102.1058
0.7083,100.4772
0.6669,99.7533
0.655,99.6051
0.6728,102.1137
0.8279,108.2765
0.9303,110.0063
0.8291,108.4345
0.8147,105.747
0.7629,102.7774
0.7402,100.4399
0.6864,99.0723
0.6569,98.9445
0.6288,99.4413
0.6014,99.4874
0.5912,99.0508
0.5746,101.8532
0.5888,105.3239
0.7075,107.307
0.7174,107.671
0.7076,107.6601
0.7121,107.065
0.7096,106.25236
0.6672,105.43972
0.6397,104.62708
0.6431,103.81444
0.6448,103.0018
0.6306,104.496
0.6381,104.509
0.6922,104.5513
0.7368,107.9198
0.7486,108.4833
0.732,108.1237
0.7126,106.5991
0.6879,104.6423
0.6713,103.363
0.6444,103.8812
0.6223,104.0036
0.6151,104.0524
0.61,101.8925
0.6796,104.8524
1.4238,113.6809
0.8731,115.4677
0.7887,110.0511
0.7691,102.3979
0.7093,99.2707
0.6685,98.7697
0.6452,98.064
0.6387,96.2598
0.6199,95.8441
0.6011,95.9007
0.5983,95.9183
0.615,98.1399
0.6624,102.6823
0.8087,107.1333
0.8328,107.3174
0.8348,106.4796
0.8117,104.7148
0.7932,102.9649
0.7633,101.187
0.7581,99.7991
0.7422,99.3684
0.7501,100.2828
0.7666,101.6053
0.7571,102.6963
0.7786,103.6112
0.7932,104.4558
0.7819,104.892
0.7815,105.2131
0.7677,105.6181
0.7882,105.8559
0.7803,105.9807
0.7435,106.0969
0.6993,105.8994
0.6811,106.335325
0.7603,106.77125
1.0981,107.207175
0.9138,107.6431
0.8333,107.1514
0.8178,104.4079
0.7827,101.0336
0.7278,100.0536
0.6787,98.9281
0.6651,99.4475
0.6483,100.7813
0.6766,102.5012
0.6955,105.0345
0.7177,106.7486
0.7328,107.0069
0.7456,106.8841
0.7318,106.3083
0.6863,105.4219
0.7013,103.9559
0.7629,104.0771
0.7627,105.0761
0.7789,104.9844
0.7579,104.3207
0.7042,103.2608
0.6672,102.6641
0.6478,100.5188
0.6646,100.1517
0.7067,103.0619
0.7293,104.9499
0.7264,105.2538
0.6869,105.1776
0.641,104.7364
0.6291,103.3222
0.6394,105.8626
0.6357,107.4471
0.6144,107.554
0.6123,106.9335
0.6247,105.9953
0.628,107.7332
0.6018,107.9448
0.6212,107.8655
0.6556,106.8832
0.6543,104.9007
0.635,103.9681
0.6177,103.2433
0.6467,101.4768
0.664,102.1303
0.6847,103.5459
0.6587,103.575
0.6494,103.5622
0.664,103.3417
0.679,104.7595
0.6836,105.9956
0.6587,106.5015
0.6579,106.4365
0.6859,104.7868
0.6918,104.5966
0.6898,102.4285
0.6574,100.3745
0.6532,100.5541
0.7047,102.9962
0.716,104.7327
0.6962,105.12145
0.6861,105.5102
0.6859,105.89895
0.6917,106.2877
0.6816,106.2881
0.661,106.1004
0.6535,103.9607
0.6725,103.9283
0.7191,105.7437
0.7207,106.0325
0.6938,105.8392
0.655,104.729
0.6274,102.8139
0.6086,100.1871
0.6515,104.0763
0.8473,109.7897
0.8145,109.4489
0.7348,106.9121
0.6882,102.9238
0.6458,99.7914
0.635,99.1053
0.6116,96.9645
0.5939,96.912
0.5852,96.3132
0.5782,98.184
0.5885,98.7142
0.6114,101.2151
0.606,101.4687286
0.5938,101.7223571
0.5763,101.9759857
0.5855,102.2296143
0.6271,102.4832429
0.6193,102.7368714
0.6092,102.9905
0.607,99.1135
0.6041,97.563
0.6015,96.621
0.5934,96.3432
0.5918,96.3223
0.5765,96.0527
0.5727,95.4867
0.5743,96.9914
0.5786,100.3232
0.5747,103.6273
0.5918,104.451
0.591,103.0628
0.6073,105.801
0.6536,108.3517
0.6391,108.703
0.5927,107.3888
0.5958,104.4787
0.6031,100.7706
0.5827,100.0331
0.5907,101.6289
0.6212,103.4658
0.6437,104.0757
0.6466,104.1951
0.6446,104.1154
0.6382,100.8106
0.6082,98.0925
0.5919,95.6335
0.5862,91.6553
0.5798,92.9454
0.5776,97.8956
0.5824,99.2138
0.6178,101.4712
0.6283,104.5166
0.6495,104.9323
0.6817,104.9949
0.6866,106.2643
0.6965,105.9978
0.6734,104.2256
0.6385,103.287125
0.6296,102.34865
0.6344,101.410175
0.6283,100.4717
0.6149,100.4717
0.6224,103.4006
0.639,103.6921
0.7215,107.5483
0.7334,107.3032
0.6969,105.2158
0.6627,102.4573
0.6243,99.9013
0.6029,99.8886
0.5879,99.8922
0.5872,96.9682
0.5834,96.4952
0.5836,96.5268
0.5946,97.9271
0.5884,98.6063
0.596,98.6817
0.5675,98.9817
0.5719,99.0496
0.5694,98.5747
0.5623,99.8889
0.5714,100.4055
0.5793,100.3693
0.6239,101.3238
0.6321,104.3628
0.637,109.4409
0.6607,109.6483
0.6852,105.4026
0.6622,105.3435
0.6473,104.7778
0.6575,104.7594
0.6312,104.1594
0.6513,104.1633
0.6592,101.5797
0.6513,103.1789
0.6579,104.2022
0.6746,104.7777
0.7001,106.4404
0.6927,108.0429
0.6802,107.9338
0.6927,107.0344
0.6928,106.4208
0.7083,106.333
0.7162,105.8816
0.6702,105.7991
0.6551,105.0465
0.6567,101.1658
0.6388,99.4558
0.6218,99.5004
0.6211,99.5255
0.6406,100.103
0.6525,102.3696
0.6652,104.3665
0.6314,108.1202
0.6285,108.1133
0.6564,100.8723
0.641,101.4376
0.6165,103.5536
0.6194,103.5621
0.6414,99.083
0.6374,100.383
0.6251,100.527
0.6009,104.0623
0.588,104.2662
0.6074,98.3649
0.6245,99.6642
0.6436,100.847
0.6559,100.9515
0.7258,101.8392
0.7401,101.4008
0.7218,100.9624
0.6764,100.524
0.6595,100.0856
0.6631,99.7089
0.6808,93.5186
0.6843,95.1817
0.681,95.3871
0.6903,95.5388
0.6658,96.836
0.6721,98.8306
0.6576,108.2951
0.6501,108.2478
0.6535,98.9306
0.6576,98.9914
0.7113,100.0021
0.7614,100.8994
0.7323,100.8586
0.6844,100.3102
0.6456,98.1473
0.6481,95.7229
0.6437,98.5238
0.6458,101.4674
0.6611,101.917
0.6717,102.5655
0.6679,103.7813
0.697,105.8043
0.7267,109.1477
0.7165,108.9451
0.6706,106.7697
0.6589,104.5943
0.6199,104.0649
0.6113,105.0132
0.6477,105.3256
0.6894,106.1436
0.7318,106.417
0.7076,106.3359
0.702,105.687
0.7279,104.3104
0.72,106.4197
0.6767,107.8613
0.645,111.0066
0.6398,111.0107
0.6372,106.3804
0.6723,108.1592
0.6969,109.2647
0.6836,109.3768
0.6845,109.226
0.6697,108.0797
0.7029,108.1699
0.6846,109.1185
0.6515,111.1171
0.6316,111.1252
0.6242,110.8895
0.678,109.852
0.7018,110.4203
0.7189,109.943
0.7,107.8679
0.6834,107.5902
