"index","SBP","RRI","SBP_trend","RRI_trend","lag0_seq"
9,110.695,829,"desc","desc","seq"
10,108.495,759,"desc","desc","seq"
11,104.254,705,"desc","desc","seq"
12,100.327,690,"desc","desc","seq"
13,100.049,647,"desc","desc","seq"
17,105.795,620,"asc","asc","seq"
18,113.58,783,"asc","asc","seq"
19,118.041,1159,"asc","asc","seq"
31,105.033,601,"asc","asc","seq"
32,108.55,660,"asc","asc","seq"
33,115.753,826,"asc","asc","seq"
34,119.487,1073,"asc","asc","seq"
35,117.094,879,"desc","desc","seq"
36,111.85,857,"desc","desc","seq"
37,104.726,829,"desc","desc","seq"
38,100.577,827,"desc","desc","seq"
39,99.432,777,"desc","desc","seq"
40,98.754,755,"desc","desc","seq"
41,97.696,698,"desc","desc","seq"
42,96.771,668,"desc","desc","seq"
43,95.893,658,"desc","desc","seq"
44,96.075,666,"asc","asc","seq"
45,102.341,736,"asc","asc","seq"
46,103.752,950,"asc","asc","seq"
72,101.853,665,"asc","asc","seq"
73,101.88,686,"asc","asc","seq"
74,102.127,711,"asc","asc","seq"
91,112.744,896,"desc","desc","seq"
92,110.24,859,"desc","desc","seq"
93,106.823,848,"desc","desc","seq"
94,104.22,816,"desc","desc","seq"
95,102.208,755,"desc","desc","seq"
96,100.895,723,"desc","desc","seq"
97,100.581,697,"desc","desc","seq"
99,102.082,673,"asc","asc","seq"
100,103.608,688,"asc","asc","seq"
101,105.133,697,"asc","asc","seq"
102,106.659,731,"asc","asc","seq"
103,108.184,734,"asc","asc","seq"
118,105.968,800,"desc","desc","seq"
119,104.382,780,"desc","desc","seq"
120,102.106,751,"desc","desc","seq"
121,100.477,708,"desc","desc","seq"
122,99.753,667,"desc","desc","seq"
123,99.605,655,"desc","desc","seq"
124,102.114,673,"asc","asc","seq"
125,108.276,828,"asc","asc","seq"
126,110.006,930,"asc","asc","seq"
127,108.434,829,"desc","desc","seq"
128,105.747,815,"desc","desc","seq"
129,102.777,763,"desc","desc","seq"
130,100.44,740,"desc","desc","seq"
131,99.072,686,"desc","desc","seq"
132,98.945,657,"desc","desc","seq"
137,105.324,589,"asc","asc","seq"
138,107.307,708,"asc","asc","seq"
139,107.671,717,"asc","asc","seq"
