"index","SBP","RRI_lag2","SBP_trend","RRI_trend_lag2","lag2_seq"
11,104.254,829,"desc","desc","seq"
12,100.327,759,"desc","desc","seq"
13,100.049,705,"desc","desc","seq"
37,104.726,879,"desc","desc","seq"
38,100.577,857,"desc","desc","seq"
39,99.432,829,"desc","desc","seq"
40,98.754,827,"desc","desc","seq"
41,97.696,777,"desc","desc","seq"
42,96.771,755,"desc","desc","seq"
43,95.893,698,"desc","desc","seq"
46,103.752,666,"asc","asc","seq"
47,105.164,736,"asc","asc","seq"
48,106.576,950,"asc","asc","seq"
93,106.823,896,"desc","desc","seq"
94,104.22,859,"desc","desc","seq"
95,102.208,848,"desc","desc","seq"
96,100.895,816,"desc","desc","seq"
97,100.581,755,"desc","desc","seq"
101,105.133,673,"asc","asc","seq"
102,106.659,688,"asc","asc","seq"
103,108.184,697,"asc","asc","seq"
104,108.186,731,"asc","asc","seq"
120,102.106,800,"desc","desc","seq"
121,100.477,780,"desc","desc","seq"
122,99.753,751,"desc","desc","seq"
123,99.605,708,"desc","desc","seq"
129,102.777,829,"desc","desc","seq"
130,100.44,815,"desc","desc","seq"
131,99.072,763,"desc","desc","seq"
132,98.945,740,"desc","desc","seq"
144,104.627,710,"desc","desc","seq"
145,103.814,667,"desc","desc","seq"
146,103.002,640,"desc","desc","seq"
164,102.398,873,"desc","desc","seq"
165,99.271,789,"desc","desc","seq"
166,98.77,769,"desc","desc","seq"
167,98.064,709,"desc","desc","seq"
168,96.26,668,"desc","desc","seq"
169,95.844,645,"desc","desc","seq"
179,101.187,812,"desc","desc","seq"
180,99.799,793,"desc","desc","seq"
181,99.368,763,"desc","desc","seq"
199,104.408,914,"desc","desc","seq"
200,101.034,833,"desc","desc","seq"
201,100.054,818,"desc","desc","seq"
202,98.928,783,"desc","desc","seq"
218,102.664,758,"desc","desc","seq"
219,100.519,704,"desc","desc","seq"
220,100.152,667,"desc","desc","seq"
274,102.924,815,"desc","desc","seq"
275,99.791,735,"desc","desc","seq"
276,99.105,688,"desc","desc","seq"
277,96.964,646,"desc","desc","seq"
278,96.912,635,"desc","desc","seq"
279,96.313,612,"desc","desc","seq"
290,99.114,619,"desc","desc","seq"
291,97.563,609,"desc","desc","seq"
292,96.621,607,"desc","desc","seq"
293,96.343,604,"desc","desc","seq"
294,96.322,602,"desc","desc","seq"
295,96.053,593,"desc","desc","seq"
296,95.487,592,"desc","desc","seq"
315,98.092,645,"desc","desc","seq"
316,95.634,638,"desc","desc","seq"
317,91.655,608,"desc","desc","seq"
322,104.517,582,"asc","asc","seq"
323,104.932,618,"asc","asc","seq"
324,104.995,628,"asc","asc","seq"
325,106.264,649,"asc","asc","seq"
329,102.349,673,"desc","desc","seq"
330,101.41,638,"desc","desc","seq"
331,100.472,630,"desc","desc","seq"
354,101.324,571,"asc","asc","seq"
355,104.363,579,"asc","asc","seq"
356,109.441,624,"asc","asc","seq"
357,109.648,632,"asc","asc","seq"
397,100.847,607,"asc","asc","seq"
398,100.952,625,"asc","asc","seq"
399,101.839,644,"asc","asc","seq"
403,100.086,722,"desc","desc","seq"
404,99.709,676,"desc","desc","seq"
405,93.519,659,"desc","desc","seq"
406,95.182,663,"asc","asc","seq"
407,95.387,681,"asc","asc","seq"
408,95.539,684,"asc","asc","seq"
424,102.566,646,"asc","asc","seq"
425,103.781,661,"asc","asc","seq"
426,105.804,672,"asc","asc","seq"
459,105.754,700,"desc","desc","seq"
460,104.458,683,"desc","desc","seq"
461,103.792,650,"desc","desc","seq"
488,101.993,763,"desc","desc","seq"
489,97.714,703,"desc","desc","seq"
490,97.287,663,"desc","desc","seq"
506,99.922,748,"desc","desc","seq"
507,98.282,719,"desc","desc","seq"
508,97.134,705,"desc","desc","seq"
519,106.619,784,"desc","desc","seq"
520,103.582,731,"desc","desc","seq"
521,101.108,700,"desc","desc","seq"
522,99.176,664,"desc","desc","seq"
546,111.187,588,"asc","asc","seq"
547,113.554,613,"asc","asc","seq"
548,115.921,627,"asc","asc","seq"
634,99.844,868,"desc","desc","seq"
635,96.4,820,"desc","desc","seq"
636,95.696,792,"desc","desc","seq"
637,95.151,739,"desc","desc","seq"
638,94.375,713,"desc","desc","seq"
657,96.022,820,"desc","desc","seq"
658,94.52,781,"desc","desc","seq"
659,94.445,754,"desc","desc","seq"
660,94.126,734,"desc","desc","seq"
661,93.63,722,"desc","desc","seq"
673,94.903,837,"desc","desc","seq"
674,93.408,800,"desc","desc","seq"
675,92.668,760,"desc","desc","seq"
683,103.223,650,"asc","asc","seq"
684,104.645,652,"asc","asc","seq"
685,105.448,681,"asc","asc","seq"
690,103.918,704,"asc","asc","seq"
691,104.112,741,"asc","asc","seq"
692,104.306,779,"asc","asc","seq"
716,101.535,739,"desc","desc","seq"
717,99.469,706,"desc","desc","seq"
718,97.099,656,"desc","desc","seq"
751,99.324,586,"asc","asc","seq"
752,101.068,592,"asc","asc","seq"
753,102.48,633,"asc","asc","seq"
754,102.515,647,"asc","asc","seq"
775,101.052,729,"desc","desc","seq"
776,98.534,695,"desc","desc","seq"
777,96.625,688,"desc","desc","seq"
778,94.563,635,"desc","desc","seq"
779,93.256,591,"desc","desc","seq"
782,101.41,581,"asc","asc","seq"
783,103.825,596,"asc","asc","seq"
784,105.704,621,"asc","asc","seq"
785,105.849,630,"asc","asc","seq"
787,107.773,614,"asc","asc","seq"
788,107.994,621,"asc","asc","seq"
789,108.009,636,"asc","asc","seq"
796,105.069,674,"desc","desc","seq"
797,104.919,663,"desc","desc","seq"
798,104.917,655,"desc","desc","seq"
799,104.382,646,"desc","desc","seq"
838,100.528,711,"desc","desc","seq"
839,100.522,661,"desc","desc","seq"
840,99.804,630,"desc","desc","seq"
842,104.223,642,"asc","asc","seq"
843,105.308,662,"asc","asc","seq"
844,106.456,738,"asc","asc","seq"
861,103.719,702,"desc","desc","seq"
862,103.68,684,"desc","desc","seq"
863,102.285,674,"desc","desc","seq"
864,99.097,632,"desc","desc","seq"
